Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"A multi-study analysis of conceptual and measurement issues related to health research on acculturation in Latinos.","Andrews, Arthur R. III; Bridges, Ana J.; Gomez, Debbie","Journal of Transcultural Nursing",="10436596",,="20130401","24","2","134","10","2013-08044-003","10.1177/1043659612472199","Sage Publications","Journal Article","Acculturation; Health Behavior; Immigration; Measurement; Analysis; Latinos/Latinas; Childhood (birth-12 yrs); School Age (6-12 yrs); Adolescence (13-17 yrs); Adulthood (18 yrs & older); Male; Female",,"Purpose: The aims of the study were to evaluate the orthogonality of acculturation for Latinos. Design: Regression analyses were used to examine acculturation in two Latino samples (N = 77; N = 40). In a third study (N = 673), confirmatory factor analyses compared unidimensional and bidimensional models. Method: Acculturation was assessed with the ARSMA-II (Studies 1 and 2), and language proficiency items from the Children of Immigrants Longitudinal Study (Study 3). Results: In Studies 1 and 2, the bidimensional model accounted for slightly more variance (R² Study 1 = .11; R² Study 2 = .21) than the unidimensional model (R² Study 1 = .10; R² Study 2 = .19). In Study 3, the bidimensional model evidenced better fit (Akaike information criterion = 167.36) than the unidimensional model (Akaike information criterion = 1204.92). Discussion/Conclusions: Acculturation is multidimensional. Implications for Practice: Care providers should examine acculturation as a bidimensional construct. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2013-08044-003&site=ehost-live&scope=site"
"A new conceptualization of intercultural adjustment and the goals of training.","Grove, Cornelius L.; Torbiörn, Ingemar","International Journal of Intercultural Relations",="01471767",,="19850101","9","2","205","29","1986-19704-001","10.1016/0147-1767(85)90008-2","Pergamon Press","Journal Article","Culture Shock; Education; Immigration; Psychodynamics; Social Adjustment; Acculturation; Behavior Modification; Cognitive Mediation; Communication Skills Training; Models; Social Skills Training",,"Three psychological constructs—applicability of behavior, clarity of the mental frame of reference, and level of mere adequacy—are used to reconceptualize the process of adjustment to a highly unfamiliar environment. A model is presented that goes beyond the symptom level to understand intercultural adjustment from the perspective of cognitive and motivational psychology. Four stages of adjustment are outlined, and Stage II, which is characterized by culture shock, is explained in detail. Positive intercultural-training goals related to the 3 psychological constructs are specified, followed by a detailed discussion of practical implications. Particular attention is paid to reducing the severity and shortening the duration of Stage II. The importance of beginning training before a sojourner's experience and continuing it during the sojourn is stressed. (French & Spanish abstracts) (20 ref) (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=1986-19704-001&site=ehost-live&scope=site"
"A qualitative grounded theory study of the immigrant jewish women's ethnic identity experience in san antonio, texas.","Placeres Nawrocik, Maribel Elisheva","Dissertation Abstracts International Section A: Humanities and Social Sciences",="04194209",="9781303655715",="20140101","75","4-A(E)",,,"2014-99190-563",,"ProQuest Information & Learning","Dissertation","Ethnic Identity; Immigration; Grounded Theory; Human Females; Qualitative Methods; Frame of Reference; Latinos/Latinas",,"In the last twenty years, there has been a significant increase of Jewish Latin Americans immigrating to the United States. However, this population has been completely ignored in the psychological literature. This study explored the Jewish ethnic identity of Jewish Latin American women living in the city of San Antonio, Texas only because of it's proximity to the border between Latin America and the United States. The age requirements for this population were between 25 and 89 years of age. This study used a qualitative method of inquiry with a grounded theory approach. The grounded theory established, as a result of this methodology, presented a very unique definition of the Jewish Latin American ethnic identity. The findings surrounding the uniqueness of this Jewish ethnic identity opens the possibility to extend this research to the national level in the United States as a valuable source within the field of psychology in terms of providing a frame of reference for identification, adjustment, assimilation, acculturation, education, political and societal understanding, predictability, changing stereotyping; all important factors for facilitating counseling and implications for clinical treatments as well as providing important information for the fields of anthropology, sociology, and multicultural studies. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2014-99190-563&site=ehost-live&scope=site"
"A research paradigm shift in acculturation research: From a psychopathological perspective to a resilience framework.","Pan, Jia-Yan","Acculturation: Psychology, processes and global perspectives.",,="9781633213470; 9781633213487",="20140101",,,"221","13","2015-27971-014",,"Nova Science Publishers","Chapter","Acculturation; Cross Cultural Differences; Experimentation; Psychopathology; Resilience (Psychological)",,"Acculturation research in the past decades has been largely dominated by a psychopathological perspective, which narrowly focused on cross-cultural adaptation problems and their negative impact on mental health of various groups of migrant. Guided by the resilience framework, this paper identifies a significant paradigm shift in acculturation research from emphasizing negative impact of migration experience on mental health to highlighting positive adaptation outcomes in cross-cultural adjustment and their contributing factors. Two directions for future acculturation research are proposed to follow this research paradigm shift: (1) to identify the positive adaptation outcomes in me process of acculturation; and (2) to identify significant protective factors and to investigate the protective mechanisms of how these factors work to promote positive adaptation outcomes in the context of acculturation. (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2015-27971-014&site=ehost-live&scope=site"
"A theoretical framework for understanding ethnic socialization among international adoptees.","Mohanty, Jayashree; Newhill, Christina","Families in Society",="10443894",,="20081001","89","4","543","8","2008-16629-005","10.1606/1044-3894.3817","Alliance for Children & Families","Journal Article","Adoptees; Ethnic Identity; Psychosocial Development; Socialization; Theories",,"Although the number of U.S. families who choose international adoption has grown dramatically over the past decade, concern remains about separating such children from their racial/ethnic/cultural groups of origin. Existing literature has primarily focused on African American or immigrant children's ethnic socialization experiences with little attention given to ethnic socialization of international adoptees. This paper describes a theoretical framework for understanding ethnic socialization among international adoptees and examines the applicability of existing models for understanding developmental and psychosocial outcomes for adopted minority children. Implications for practice, policy, and research are discussed. (PsycINFO Database Record (c) 2018 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2008-16629-005&site=ehost-live&scope=site"
"A theoretical model for the application of Gestalt theory to immigrant absorption in Israel.","Serok, Shraga","Journal of Psychology & Judaism",="07009801",,="19850301","9","1","36","10","1986-24280-001",,"Springer","Journal Article","Gestalt Psychology; Immigration",,"Reviews the primary concepts relating to migration and absorption and discusses the unique influences of the state of Israel on its immigration process. In keeping with the Israeli government's shift from policies of assimilation to those of integration of the various immigrant ethnic groupings, a theoretical approach is presented that proposes to facilitate the social integration process. Based on the principles of gestalt theory, this approach assumes that a total configuration is created from the individual elements and emphasizes the clarity of this image against its background. It is suggested that, while the model relates specifically to Israel, it can be applied equally in all countries faced with the problems of integrating new immigrants. (24 ref) (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=1986-24280-001&site=ehost-live&scope=site"
"Acculturation and adaptation: A general framework.","Berry, John W.","Mental health of immigrants and refugees.",,="0943463106",="19900101",,,"90","13","1991-97078-004",,"Hogg Foundation for Mental Health","Chapter","Acculturation; Adaptation; Human Migration; Immigration; Mental Health; Psychosocial Factors; Refugees; Stress",,"begin with an overview, from the perspective of cross-cultural psychology, of the factors that may govern the relationship between acculturation and mental health in immigrant and refugee populations / a general description of the processes of acculturation and adaptation will be given first, followed by a review of what the general literature tells us about how individuals and groups can achieve a successful outcome / general principles will be applied to the special situation of immigrants and refugees the concepts of acculturation and adaptation will be employed to describe and analyze this overall chain of events from initial contact to the eventual mental health consequences for the individual / acculturative stress (PsycInfo Database Record (c) 2020 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=1991-97078-004&site=ehost-live&scope=site"
"Acculturation and enculturation: A review of theory and research.","Kim, Bryan S. K.; Alamilla, Saul G.","Social issues in living color: Challenges and solutions from the perspective of ethnic minority psychology: Societal and global issues., Vol. 2.",,="9781440846724; 9781440833366; 9781440833373",="20170101",,,"25","28","2017-11807-002",,"Praeger/ABC-CLIO","Chapter","Acculturation; Cross Cultural Differences; Diversity; Minority Groups; Psychological Theories; Society",,"The United States has seen an unprecedented rate of racial diversification during the last three decades, which has resulted in significant increases in the percentages of non-European Americans. One of the consequences of this significant immigrant population increase, and specifically non-European immigration, is that these individuals often experience a change process from the cultural norms that they were socialized into to new and vastly different cultural norms that characterize the U.S. society. One construct that has been quite popular in attempting to explain this cultural change process is called acculturation. The purpose of this chapter is to explore psychological theories related to acculturation and a closely related construct (enculturation), measurement of these constructs, and research findings bearing on the relations between these constructs and psychological experiences among racial minorities. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2017-11807-002&site=ehost-live&scope=site"
"Acculturation and health: Theory and research.","Berry, J. W.","Cultural clinical psychology: Theory, research, and practice.",,="0195109457; 0195109465",="19980101",,,"39","19","1998-07553-002",,"Oxford University Press","Chapter","Acculturation; Cross Cultural Psychology",,"Presents a set of ideas and a selection of research findings that will allow clinicians to better understand and provide services to people of diverse cultural origins who now live together in plural societies. The orientation to these materials is provided from the perspective of cross-cultural psychology, whose central aim has been to demonstrate the influence of cultural factors on the development and display of individual human behavior. In focusing on how people who have developed in one cultural context manage to adapt to new contexts that result from migration, researchers employ the concept of acculturation in 2 ways: first, to refer to the cultural changes resulting from these group encounters; 2nd, the concept of psychological acculturation is used to refer to the psychological changes and eventual outcomes that occur as a result of individuals experiencing acculturation that is underway in their group. (PsycINFO Database Record (c) 2019 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=1998-07553-002&site=ehost-live&scope=site"
"Acculturation and help-seeking behavior in consultation: A sociocultural framework for mental health service.","Pham, Andy V.; Goforth, Anisa N.; Chun, Heejung; Castro-Olivo, Sara; Costa, Annela","Journal of Educational & Psychological Consultation",="10474412",,="20170701","27","3","271","18","2017-34898-003","10.1080/10474412.2017.1287574","Taylor & Francis","Journal Article","Acculturation; Cross Cultural Treatment; Help Seeking Behavior; Mental Health Services; Professional Consultation",,"Many immigrant and ethnic minority families demonstrate reluctance to pursue or utilize mental health services in community-based and clinical settings, which often leads to poorer quality of care for children and greater likelihood of early termination. Cultural variations in help-seeking behavior and acculturation are likely to influence consultation participation and process for mental health services. Thus, examining sociocultural context of the consultants, consultees, and clients is critical to the success of multicultural consultation and outcomes. The purpose of the article is to (a) address processes and barriers when engaging in multicultural consultation in community-based and clinical settings, (b) outline the sociocultural context in relation to parent help-seeking behavior, and (c) discuss the effect of acculturation and related sociocultural factors in the participation and process of consultation. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=psyh&AN=2017-34898-003&site=ehost-live&scope=site"
