Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Cognitive testing in non-demented Turkish immigrants - comparison of the RUDAS and the MMSE.","NIELSEN, T. R.; VOGEL, A.; GADE, A.; WALDEMAR, G.","Scandinavian Journal of Psychology",="00365564",,="Dec2012","53","6","455","12","83584580","10.1111/sjop.12018","Wiley-Blackwell","Article","TURKEY; DENMARK; CHI-squared test; COGNITIVE testing; IMMIGRANTS -- Psychology; INTERVIEWING; RESEARCH methodology; MINORITIES; REGRESSION analysis; STATISTICAL sampling; SCALES (Weighing instruments); U-statistics; TASK performance; DATA analysis software; DESCRIPTIVE statistics","cognitive testing; cross‐cultural; cross-cultural; ethnic minority; immigrants; Neuropsychology; Turkish","Nielsen, T. R. Vogel, A., Gade, A. & Waldemar, G. (2012). Cognitive testing in healthy Turkish immigrants - comparison of the RUDAS and the MMSE. Scandinavian Journal of Psychology 53, 455-460. Methods for culturally and linguistically appropriate cognitive testing of elderly minority populations are lacking in Europe. The aim of this study was to compare performance on the Rowland Universal Dementia Assessment Scale (RUDAS) and the Mini Mental State Examination (MMSE) in Turkish immigrants in Denmark and determine the impact of demographic and health-related variables on test performance. A sample of non-demented community-dwelling Turkish immigrants was recruited from the greater Copenhagen area. All participants completed a structured interview regarding demographic, physical and mental health status, as well as measures of depression and acculturation, and cognitive testing with the RUDAS and the MMSE. A total of 76 non-demented participants aged 50 or more were included in the study. The mean performance on the RUDAS and the MMSE was 26.8 (SD 2.4) and 23.7 (SD 4.3), respectively. In group comparisons, correlation analyses and regression analyses, level of schooling represented a more significant variable for RUDAS and MMSE performance than any other variable. However, the impact of schooling was considerably more pronounced on the MMSE and the test was not found to be a valid measure of general cognitive function in subjects with less than five years of schooling. Although not entirely free of educational bias, the RUDAS can be a valuable supplement to the MMSE for assessment of general cognitive function in Turkish minority populations.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=83584580&site=ehost-live&scope=site"
"Confirmatory Factor Analysis and Psychometric Properties of the Multidimensional Acculturative Stress Scale.","Lapkin, Samuel; Fernandez, Ritin","Australian Psychologist",="00050067",,="Aug2018","53","4","339","6","130547610","10.1111/ap.12326","Wiley-Blackwell","Article","INDIA; AUSTRALIA; PSYCHOMETRICS; PSYCHOLOGICAL stress; ACCULTURATION; CORRELATION (Statistics); FACTOR analysis; LENGTH of stay in hospitals; IMMIGRANTS -- Psychology; RELIABILITY (Personality trait); RESEARCH evaluation; RESEARCH methodology evaluation; DIAGNOSIS","acculturation; acculturative stress; Asian Indian immigrants; confirmatory factor analysis; migrant women; psychometrics","Objective: The aim of this study was to examine the psychometric properties of the Multidimensional Acculturative Stress Scale (MASS) when used to examine the stressors faced by senior Asian Indian women immigrants in Australia. Method: Data collected from a sample of Asian Indian women immigrants residing in Sydney, Australia, were used to examine the psychometric properties of the MASS using confirmatory factor analysis. Results: A total of 203 Indian women immigrants with an average age of 66.11 years [standard deviation (SD) ± 9.60; range 50–90) participated in the study. The majority of the participants were born in India (n = 142; 70%) and their length of stay in Australia was between 1 month and 42 years. The original 24‐item, five‐factor MASS structure was confirmed, and the model showed a good fit to the data: comparative fit index = 0.93; root mean square error of approximation = 0.06; and standardised root mean square residual = 0.08. The Cronbach's alpha coefficients for the five subscales ranged from 0.80 to 0.93 and was 0.91 for the overall scale demonstrating high internal consistency. Conclusions: The findings confirm the factor structure and reliability of the MASS for assessing acculturative stress among female Asian Indian immigrants. However, scale development is an iterative process and further testing in other contexts is recommended.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=130547610&site=ehost-live&scope=site"
"Confirming the multidimensionality of psychological well-being among Korean immigrant mothers in the United States.","Seo, You Jung; Sun, Shuyan; Cheah, Charissa S. L.","International Journal of Mental Health",="00207411",,="2019","48","1","40","22","136237929","10.1080/00207411.2019.1578612","Taylor & Francis Ltd","Article","UNITED States; KOREANS -- United States; CULTURE; MENTAL depression; FACTOR analysis; IMMIGRANTS -- Psychology; MENTAL health; MOTHER-child relationship; PSYCHOLOGY of mothers; RESEARCH; SATISFACTION; SELF-perception; SOCIAL support; WELL-being","Factor analyses; Korean culture; Korean immigrant mothers in the United States; Ryff's psychological well-being scale","Ryff's Psychological Well-Being (PWB) Scale is a theoretically derived instrument that focuses on six dimensions of eudaimonic well-being. Although the PWB scale has been widely used in both clinical and general samples with different sociodemographic characteristics, its factor structure within first-generation Korean immigrant mothers requires examination, as they often face sociocultural challenges due to immigration-related experiences (e.g., acculturation stress, being socially and culturally segregated, following heritage cultural obligations to be a ""wise mother and good wife,"" or taking less prestigious jobs) that could negatively influence their well-being. This study examined the factor structure of an 18-item version of the PWB scale in a sample of 169 first-generation Korean immigrant mothers of young children in the United States. A second-order confirmatory factor analysis did not support the original factor structure of the PWB scale. More importantly, high correlations among some of the PWB subscales suggested that the PWB factors may not be distinct from each other and the number of factors should be reduced. Exploratory factor analysis was conducted on the four highly correlated factors in subsequent analyses, and three new factors (Satisfaction with Life, Goal Orientation, and Positive Self-Perceptions) were identified. The newly derived PWB factors were negatively correlated with mothers' depressive symptoms. These findings advanced our understanding of psychological well-being in first-generation Korean immigrant mothers and highlighted the need to consider sociocultural factors in mental health research with this population.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=136237929&site=ehost-live&scope=site"
"Conflicting Cultural Values, Gender Role Attitudes, and Acculturation: Exploring the Context of Reproductive and Mental Health of Asian-Indian Immigrant Women in the US.","Mann, Semran K.; Roberts, Lisa R.; Montgomery, Susanne","Issues in Mental Health Nursing",="01612840",,="Apr2017","38","4","301","9","122316696","10.1080/01612840.2017.1283376","Taylor & Francis Ltd","Article","CALIFORNIA; UNITED States; ASIANS -- United States; ACCULTURATION; ANXIETY; DECISION making; MENTAL depression; HUMAN rights; RESEARCH methodology; MENTAL health; MULTIVARIATE analysis; QUESTIONNAIRES; REGRESSION analysis; RELIGION; RESEARCH funding; STATISTICAL sampling; GENDER role; STATISTICAL hypothesis testing; STATISTICS; TRANSLATIONS; REPRODUCTIVE health; QUALITATIVE research; CULTURAL values; FAMILY relations; QUANTITATIVE research; THEMATIC analysis; FAMILY planning; DESCRIPTIVE statistics",,"Asian-Indians, one of the fastest growing US immigrant groups, experience depression and anxiety, particularly among women. In this mixed-methods study, quantitative (n = 217) and qualitative (n = 36) data explored egalitarian vs. traditional views regarding women's roles and rights. Bicultural integration, family planning decision-making ability, and anxiety were associated with more egalitarian views, while Punjabi language preference, depression, and more births were associated with traditional views. Health care professionals serving this population need to be aware of the potential cultural values conflicts and gender role expectations that influence decisions around reproductive health and mental health care for Asian-Indian immigrant women.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=122316696&site=ehost-live&scope=site"
"Constructing who can be Japanese: A study of social markers of acceptance in Japan.","Komisarof, Adam; Leong, Chan‐Hoong; Teng, Eugene","Asian Journal of Social Psychology",="13672223",,="Jun2020","23","2","238","13","143652726","10.1111/ajsp.12396","Wiley-Blackwell","Article","JAPAN; ADAPTABILITY (Psychology); ATTITUDE (Psychology); ETHNIC groups; FACTOR analysis; GROUP identity; IMMIGRANTS -- Psychology; INDIGENOUS peoples; INTERNET; INTERPERSONAL relations; LINGUISTICS; SOCIAL classes; SURVEYS; SOCIAL constructionism; MULTIPLE regression analysis; SOCIOECONOMIC factors; UNDERGRADUATES -- Psychology","immigrant acceptance; immigration in Japan; national identity; social identity theory; social markers of acceptance; social markers of acculturation","Social markers of acceptance are socially constructed indicators of adaptation (e.g., language skills or adherence to social norms) that recipient nationals use in deciding whether to view an immigrant as a host community member. This study had two objectives: (a) to distill the markers considered important by Japanese undergraduates to accept immigrants in Japanese society and (b) to test the premises of integrated threat and social identity theories by ascertaining the effects on marker endorsement of perceived immigrant threat, contribution, relative social status, and intergroup permeability. Native‐born Japanese (the term ""native‐born Japanese"" is used throughout this article to refer to people born as Japanese citizens—differentiating them from immigrants who are Japanese citizens naturalized after birth) from 12 Japanese universities (N = 428) completed an online survey. Marker importance ratings were factor‐analyzed, and three latent dimensions were found representing sociolinguistic, ethnic, and socioeconomic markers. Multiple hierarchical regressions discerned the main effects of immigrants' perceived threat and contribution on social markers as well as their interactions with intergroup permeability and immigrant relative status. The results underscored perceived threat's consistent role in increasing marker importance and suggested divergent paths to acceptance: Immigrants perceived as ""low‐status"" were expected to conform to sociolinguistic and ethnic markers, whereas socioeconomic markers were stressed more for ""high‐status"" immigrants when perceived immigrant threat increased and intergroup boundaries were considered less permeable.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=143652726&site=ehost-live&scope=site"
"Contextualizing nativity status, Latino social ties, and ethnic enclaves: an examination of the ‘immigrant social ties hypothesis’.","Viruell-Fuentes, Edna A.; Morenoff, Jeffrey D.; Williams, David R.; House, James S.","Ethnicity & Health",="13557858",,="Dec2013","18","6","586","24","93257881","10.1080/13557858.2013.814763","Taylor & Francis Ltd","Article","ILLINOIS; SOCIAL networks; ETHNIC groups; HEALTH status indicators; HISPANIC Americans -- Psychology; IMMIGRANTS -- Psychology; INTERVIEWING; PROBABILITY theory; RESEARCH funding; STATISTICS; DATA analysis; SOCIAL support; CROSS-sectional method; DATA analysis software","ethnic enclaves; immigrant status; immigrants; Latinos; length of time in the USA; nativity; neighborhood context; social networks; social support; USA","ObjectivesResearchers have posited that one potential explanation for the better-than-expected health outcomes observed among some Latino immigrants, vis-à-vis their US-born counterparts, may be the strength of social ties and social support among immigrants. MethodsWe examined the association between nativity status and social ties using data from the Chicago Community Adult Health Study's Latino subsample, which includes Mexicans, Puerto Ricans, and other Latinos. First, we used ordinary least squares (OLS) regression methods to model the effect of nativity status on five outcomes: informal social integration; social network diversity; network size; instrumental support; and informational support. Using multilevel mixed-effects regression models, we estimated the association between Latino/immigrant neighborhood composition and our outcomes, and whether these relationships varied by nativity status. Lastly, we examined the relationship between social ties and immigrants' length of time in the USA. ResultsAfter controlling for individual-level characteristics, immigrant Latinos had significantly lower levels of social ties than their US-born counterparts for all the outcomes, except informational support. Latino/immigrant neighborhood composition was positively associated with being socially integrated and having larger and more diverse social networks. The associations between two of our outcomes (informal social integration and network size) and living in a neighborhood with greater concentrations of Latinos and immigrants were stronger for US-born Latinos than for immigrant Latinos. US-born Latinos maintained a significant social ties advantage over immigrants – regardless of length of time in the USA – for informal social integration, network diversity, and network size. ConclusionAt the individual level, our findings challenge the assumption that Latino immigrants would have larger networks and/or higher levels of support and social integration than their US-born counterparts. Our study underscores the importance of understanding the contexts that promote the development of social ties. We discuss the implications of these findings for understanding Latino and immigrant social ties and health outcomes.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=93257881&site=ehost-live&scope=site"
"Co-occurrence of mental and physical illness in US Latinos.","Ortega, Alexander N.; Feldman, Jonathan M.; Canino, Glorisa; Steinman, Kenneth; Alegría, Margarita; Alegría, Margarita","Social Psychiatry & Psychiatric Epidemiology",="09337954",,="Dec2006","41","12","927","8","23591187","10.1007/s00127-006-0121-8","Springer Nature","journal article","UNITED States; MENTAL health; DISABILITIES; MENTAL illness; HISPANIC Americans; HEALTH surveys; MENTAL depression; WORLD Health Organization","chronic disease; comorbidity; Hispanic Americans; illness; Latinos; medical; mental health; physical","<bold>Background: </bold>This study describes the prevalence of comorbid physical and mental health problems in a national sample of US Latinos. We examined the co-occurrence of anxiety and depression with prevalent physical chronic illnesses in a representative sample of Latinos with national origins from Mexico, Cuba, Puerto Rico, and other Latin American countries.<bold>Method: </bold>We used data on 2,554 Latinos (75.5% response rate) ages 18 years and older from the National Latino and Asian American Study (NLAAS). The NLAAS was based on a stratified area probability sample design, and the sample came from the 50 states and Washington, DC. Survey questionnaires were delivered both in person and over the telephone in English and Spanish. Psychiatric disorders were assessed using the World Mental Health Survey Initiative version of the World Health Organization Composite International Diagnostic Interview (WMH-CIDI). Physical chronic illness was assessed by self-reported history.<bold>Results: </bold>Puerto Ricans had the highest prevalence of meeting criteria for any comorbid psychiatric disorder (more than one disorder). Puerto Ricans had the highest prevalence (22%) of subject-reported asthma history, while Cubans had the highest prevalence (33%) of cardiovascular disease. After accounting for age, sex, household income, number of years in the US, immigrant status, and anxiety or depression, anxiety was associated with diabetes and cardiovascular disease, in the entire sample. Depression and co-occurring anxiety and depression were positively associated with having a history of asthma but not with other physical diseases, in the entire sample. Interestingly, Puerto Ricans with a depressive disorder had a lower odds of having a history of cardiovascular disease than Puerto Ricans without a depressive disorder. The relationship between chronic physical and mental illness was not confounded by immigration status or number of years in the US.<bold>Discussion: </bold>Despite previous findings that link acculturation with both chronic physical and mental illness, this study does not find that number of years in the US nor nativity explain the prevalence of psychiatric-medical comorbidities. This study demonstrates the importance of considering psychiatric and medical comorbidity among specific ethnic groups, as different patterns emerge than when using aggregate ethnic measures. Research is needed on both the pathways and the mechanisms of comorbidity for the specific Latino groups.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=23591187&site=ehost-live&scope=site"
"Couple Relationship Standards and Migration: Comparing Hong Kong Chinese with Australian Chinese.","Halford, W. Kim; Leung, Patrick; Hung‐Cheung, Chan; Chau‐Wan, Lau; Hiew, Danika; Vijver, Fons J. R.","Family Process",="00147370",,="Dec2018","57","4","996","16","133444501","10.1111/famp.12337","Wiley-Blackwell","Article","AUSTRALIA; HONG Kong (China); EMIGRATION & immigration & psychology; CHINESE -- Australia; ACCULTURATION; CHINESE; COMPARATIVE studies; ETHNIC groups; FACTOR analysis; INTIMACY (Psychology); SEX distribution; SPOUSES; FAMILY relations; FAMILY attitudes","Acculturation; Chinese; Couple Relationship; Migration; Relationship Standard; Western; aculturación; chino; migración; occidental; relación de pareja; valores de la relación; 中国人; 伴侣关系; 关系标准; 文化适应; 移民; 西方的","Rates of international migration are increasing, which raises the question of how migration might influence couple relationship standards and impact on the standards of migrants forming intercultural relationships. We compared relationship standards in n = 286 Chinese living in Hong Kong, China, with standards in n = 401 Chinese migrants to a Western country (Australia) by administering the Chinese‐Western Intercultural Couple Standards Scale (CWICSS). We also compared these two groups to n = 312 Westerners living in Australia. We first tested the structural invariance of the CWICSS across the three samples with a multigroup confirmatory factor analysis. There was marginal but acceptable fit of a model of two positively correlated latent factors: Couple Bond (with four indicators, such as demonstration of love and caring) and Family Responsibility (also with four indicators, such as extended family relations and preserving face). Within the limitations of the study, results suggest migration is associated predominantly with differences in women's, but not men's, relationship standards. Migrant Chinese women show alignment of Couple Bond standards with Western standards, and divergence of Family Responsibility standards from Western standards. Discussion focused on how migration and intercultural relationship experiences might differentially influence various domains of relationship standards, gender differences in migration effects on standards, and the implications for working with culturally diverse couples. Video Abstract","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=133444501&site=ehost-live&scope=site"
"Depression among unaccompanied minor refugees: the relative contribution of general and acculturation-specific daily hassles.","Keles, Serap; Friborg, Oddgeir; Idsøe, Thormod; Sirin, Selcuk; Oppedal, Brit","Ethnicity & Health",="13557858",,="Jun2016","21","3","300","18","113740020","10.1080/13557858.2015.1065310","Taylor & Francis Ltd","Article","NORWAY; ACCULTURATION; AGE distribution; CHI-squared test; CONFIDENCE intervals; CORRELATION (Statistics); MENTAL depression; PROBABILITY theory; QUESTIONNAIRES; PSYCHOLOGY of refugees; RESEARCH evaluation; STRUCTURAL equation modeling; DATA analysis software; DESCRIPTIVE statistics","acculturative stress; daily hassles; depression; Unaccompanied minor refugees","Objectives. This study is designed to provide an empirical conceptualization of daily hassles among unaccompanied refugees, and whether they might affect mental health of young refugees after resettlement. First, we examined the underlying structure of daily hassles conceptualized as measuring general and acculturation-specific hassles. Second, we examined whether these two distinct categories of daily hassles significantly contribute to depression above and beyond the impact of premigration trauma. Design. The study was based on self-report questionnaire data collected from 895 unaccompanied refugees who had been granted residence in Norway. Results. Using structural equation modeling, the results confirmed the grouping of hassles in two general categories, which explained 43% of the variance in depression. Conclusion. The findings underscore the importance of current life conditions for unaccompanied refugees' mental health.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=113740020&site=ehost-live&scope=site"
"Depression in older Chinese migrants to Auckland.","Abbott, Max W.; Wong, Sai; Giles, Lynne C.; Wong, Sue; Young, Wilson; Au, Ming","Australian & New Zealand Journal of Psychiatry",="00048674",,="Aug2003","37","4","445","7","10331527","10.1046/j.1440-1614.2003.01212.x","Sage Publications, Ltd.","Article","MENTAL depression; CHINESE; PHYSIOLOGICAL stress","ageing; depression; migrants; older Chinese people.","Objective: This study was conducted to identify risk factors for depressive symptomatology among older Chinese migrants. Method: One hundred and sixty-two Chinese migrants aged 55 years or older, living in the community and recruited via Chinese community organizations and general practitioners, were interviewed using a Chinese version of the Geriatric Depression Scale and measures of stressful life events, morbid conditions, self-rated health, acculturation, social support and service utilization. Result: Twenty-six percent of participants met the criteria for depressive symptomatology. No recent migrants showed symptoms of depression. Multiple logistic regression analysis showed that lower emotional support, greater number of visits to a doctor, difficulties in accessing health services and low New Zealand cultural orientation increased the risk of showing symptoms of depression. Conclusion: Significant numbers of older Chinese migrants appear to be depressed or at risk for depression and, while participants with depressive symptoms consulted general practitioners more than their counterparts without such symptoms, they reported greater difficulty in accessing health services. The findings point to the need for further epidemio­logical study of this growing sector of the population and investigation of the nature of its engagement with health services. Social support and aspects of acculturation may play a significant role in preventing depression. This also requires further investigation.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=10331527&site=ehost-live&scope=site"
"Depressive symptomatology: Prevalence and psychosocial risk factors among Mexican migrant farmworkers in California.","Alderete, Ethel; Vega, William A.; Kolody, Bohdon; Aguilar-Gaxiola, Sergio","Journal of Community Psychology",="00904392",,="Jul1999","27","4","457","15","11771728","10.1002/(SICI)1520-6629(199907)27:4<457::AID-JCOP7>3.0.CO;2-D","Wiley-Blackwell","Article","CALIFORNIA; UNITED States; MENTAL depression; EPIDEMIOLOGY; MIGRANT agricultural workers; IMMIGRANTS; ACCULTURATION; DISCRIMINATION",,"This is a study of 1,001 male and female Mexican migrant farmworkers, ages 18 to 59, in rural central California. The Center for Epidemiological Studies–Depression (CES-D) scale was used to measure prevalence of depressive symptomatology and its distribution on demographic, social support, acculturation, and acculturation stress variables. CES-D caseness rates (≥ 16) were 21.1% for men and 19.7% for women. Logistic regression showed significant risk increments among respondents with high levels of acculturation (adjusted OR = 6.2) and stress due to discrimination (adjusted OR = 2.4). © 1999 John Wiley & Sons, Inc.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=11771728&site=ehost-live&scope=site"
"Depressive symptoms and health problems among Chinese immigrant elders in the US and Chinese elders in China.","Wu, Bei; Chi, Iris; Plassman, Brenda L.; Guo, Man","Aging & Mental Health",="13607863",,="Aug2010","14","6","695","10","52700214","10.1080/13607860802427994","Taylor & Francis Ltd","Article","CHINA; UNITED States; OLDER Chinese Americans; CHINESE Americans; OLDER immigrants; PAIN -- Psychological aspects; HEALTH; MENTAL health","cross-national/international studies; cultural aspects; depression","Objectives: Researchers speculate that depression tends to be more prevalent among immigrant elders due to their lack of resources, acculturation stress, language problems, and social isolation. However, other characteristics of elderly immigrants, such as the healthy immigrant effect, may counteract these potential risk factors. This study examined whether depressive symptoms differed between Chinese immigrant elders and their counterparts in China and whether health conditions were similarly associated with depressive symptoms in these two samples. Methods: Depression and health information was collected from 177 Chinese immigrant elders in Boston, the US in 2000 and from 428 education and gender-matched elders in Shanghai, China in 2003. Results: Chinese immigrants had a significantly lower score on the modified Center for Epidemiologic Studies Depression Scale (CES-D) and its subscales: somatic symptoms and depressive affect. The association remained for the subscale depressive affect in multivariate analyses. Arthritis and back or neck problems were associated with a higher level of depressive symptoms among Chinese immigrants, while problems in walking were associated with depression among their counterparts in China. Pain was an underlying contributor to the association between depression and these health problems in both the groups. Conclusions: This study suggests that Chinese immigrant elders might be more resilient than their counterparts despite many challenges they face after moving abroad. With the growing number of older Chinese immigrants in the US, a better understanding of depressive symptoms is essential to provide culturally competent services to better serve this population.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=52700214&site=ehost-live&scope=site"
"Determinants of Second Language Proficiency among Refugees in the Netherlands.","van Tubergen, Frank","Social Forces",="00377732",,="Dec2010","89","2","515","20","57405558","10.1353/sof.2010.0092","Oxford University Press / USA","Article","NETHERLANDS; SECOND language acquisition; REFUGEES; LANGUAGE ability; VERBAL ability; EMIGRATION & immigration; EDUCATION of refugees; SOCIAL integration; REFUGEE services",,"Little is known about the language acquisition of refugees in Western countries. This study examines how pre- and post-migration characteristics of refugees are related to their second language proficiency. Data are from a survey of 3,500 refugees, who were born in Afghanistan, Iran, Iraq, former Yugoslavia and Somalia, and who resided in the Netherlands. The analysis shows that speaking and reading skills are better among refugees who received more pre-migration schooling, who migrated from a major city, and who arrived in the host country at a younger age. Post-migration characteristics are also important. Language skills are better among refugees who only lived in a refugee reception center for a short while, who completed an integration course, who received post-migration education, who intend to stay in the host country, and who have fewer health problems.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=57405558&site=ehost-live&scope=site"
"Do immigration and acculturation have an impact on hyperemesis gravidarum? Results of a study in Berlin/Germany.","David, Matthias; Borde, Theda; Siedentopf, Friederike","Journal of Psychosomatic Obstetrics & Gynecology",="0167482X",,="Jun2012","33","2","78","7","74749532","10.3109/0167482X.2012.666594","Taylor & Francis Ltd","Article","GERMANY; IMMIGRANTS; MORNING sickness; UNIVERSITY hospitals; DISTRESS (Psychology)","Acculturation; hyperemesis gravidarum; immigration; SCL-90-R; somatization","Question: How large is the number of immigrant women being treated for hyperemesis gravidarum (HG) among the in-patients in a University hospital in Germany? Does migration have an impact on the psychosocial state of HG patients? Does acculturation have an impact on psychosocial distress in HG patients? Methods: The following methods were used: retrospective evaluation of all in-patients with HG from 1/1997 to 11/2009, inquiry of a consecutively surveyed group (from 2007 to 2009) of HG in-patients with a questionnaire set: socio-demographic data, questionnaire on psychic distress (SCL-90-R) questionnaire on migration/acculturation, and comparison of German patients and patients with immigration backgrounds as well as among immigrant groups. Results: During the 13-year study period, there were 4.5 times more immigrants treated for HG than native German patients. Compared to the age standardized resident population, the number of women with immigration backgrounds is over-proportionally high. The HG patients scored high in the SCL-90-R scale 'somatization' without showing a higher level of psychic distress than the native patients. Conclusions: Experience of migration is an etiological cofactor for HG. The grade of acculturation does not have a significant influence on the psychic well-being of HG patients.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=74749532&site=ehost-live&scope=site"
"Drepression in older Chinese migrants to Auckland.","Abbott MW; Wong S; Giles LC; Young W; Au M","Australian & New Zealand Journal of Psychiatry",="00048674",,="Aug2003","37","4","445","7","106771565","10.1046/j.1440-1614.2003.01212.x","Sage Publications, Ltd.","Journal Article",,,"OBJECTIVE: This study was conducted to identify risk factors for depressive symptomatology among older Chinese migrants. METHOD: One hundred and sixty-two Chinese migrants aged 55 years or older, living in the community and recruited via Chinese community organizations and general practitioners, were interviewed using a Chinese version of the Geriatric Depression Scale and measures of stressful life events, morbid conditions, self-rated health, acculturation, social support and service utilization. RESULT: Twenty-six percent of participants met the criteria for depressive symptomatology. No recent migrants showed symptoms of depression. Multiple logistic regression analysis showed that lower emotional support, greater number of visits to a doctor, difficulties in accessing health services and low New Zealand cultural orientation increased the risk of showing symptoms of depression. CONCLUSION: Significant numbers of older Chinese migrants appear to be depressed or at risk for depression and, while participants with depressive symptoms consulted general practitioners more than their counterparts without such symptoms, they reported greater difficulty in accessing health services. The findings point to the need for further epidemiological study of this growing sector of the population and investigation of the nature of its engagement with health services. Social support and aspects of acculturation may play a significant role in preventing depression. This also requires further investigation.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=106771565&site=ehost-live&scope=site"
"Duration of US residence and suicidality among racial/ethnic minority immigrants.","Brown, Monique; Cohen, Steven; Mezuk, Briana","Social Psychiatry & Psychiatric Epidemiology",="09337954",,="Feb2015","50","2","257","11","100671016","10.1007/s00127-014-0947-4","Springer Nature","Article","UNITED States; IMMIGRANTS; SUICIDAL ideation; PATHOLOGICAL psychology; RESIDENTS; PSYCHOLOGICAL stress","Migration; Psychiatric disorders; Psychopathology; Racial/ethnic minorities; Suicidality","Purpose: The immigration experience embodies a range of factors including different cultural norms and expectations, which may be particularly important for groups who become racial/ethnic minorities when they migrate to the US. However, little is known about the correlates of mental health indicators among these groups. The primary and secondary aims were to determine the association between duration of US residence and suicidality, and 12-month mood, anxiety, and substance use disorders, respectively, among racial/ethnic minority immigrants. Methods: Data were obtained from the National Survey of American Life and the National Latino and Asian American Survey. Multivariable logistic regression was used to determine the association between duration of US residence, and suicidality and 12-month psychopathology. Results: Among Afro-Caribbeans, there was a modest positive association between duration of US residence and 12-month psychopathology ( P = 0.016). Among Asians there was a modest positive association between duration of US residence and suicidal ideation and attempts ( P = 0.018, 0.063, respectively). Among Latinos, there was a positive association between duration of US residence, and suicidal ideation, attempts and 12-month psychopathology ( P = 0.001, 0.012, 0.002, respectively). Latinos who had been in the US for >20 years had 2.6 times greater likelihood of suicidal ideation relative to those who had been in the US for <5 years (95 % CI 1.01-6.78). Conclusions: The association between duration of US residence and suicidality and psychopathology varies across racial/ethnic minority groups. The results for Latino immigrants are broadly consistent with the goal-striving or acculturation stress hypothesis.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=100671016&site=ehost-live&scope=site"
"Economic Insecurity and Access to the Social Safety Net among Latino Farmworker Families.","Padilla, Yolanda C.; Scott, Jennifer L.; Lopez, Olivia","Social Work",="00378046",,="Apr2014","59","2","157","9","95984657","10.1093/sw/swu013","Oxford University Press / USA","Article","UNITED States; AGRICULTURAL laborers; HISPANIC Americans; IMMIGRANTS; INTERVIEWING; MULTIVARIATE analysis; POVERTY; PUBLIC welfare; SELF-evaluation; SOCIAL security; MULTIPLE regression analysis; DATA analysis software; ODDS ratio","farmworkers; immigration; Latino; poverty; social welfare programs","Farmworkers experience pervasive economic insecurity in part because of the seasonal nature of agricultural work and limited employment protections. Yet little is known about the adequacy of the social safety net in responding to farmworker needs. Using data from the 2005-2009 National Agricultural Workers Survey (N = 10,469), the current study analyzed predictors of social welfare participation among Latinos, who represent approximately 80 percent of all farmworkers. Nearly 95 percent are immigrants, although almost half of them have lived in the United States for more than 10 years. Descriptive analyses showed that, even among farmworker households whose income fell below the poverty line or that were headed by legally documented individuals, social services use was very low. Logistic regression analyses revealed that degree of social integration influenced social welfare participation, controlling for education, poverty status, family composition, and employment characteristics. Latino farmworkers who were recent immigrants (that is, in the United States for less than five years) had significantly lower odds of access to social insurance and public assistance programs relative to their U.S.-born counterparts. Low self-reported English ability significantly decreased access to most social insurance programs but not public assistance receipt. The findings indicate the need for social workers to engage in outreach efforts and policy advocacy to improve farmworkers access to social welfare.","http://search.ebscohost.com.proxy-ub.rug.nl/login.aspx?direct=true&db=pbh&AN=95984657&site=ehost-live&scope=site"
